# PASR_MODULAR AI Training Data Template,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Format: CSV dengan 34 feature dimensions + label + metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Generated for PASR_MODULAR v2.15.0 AI Training System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# INSTRUCTIONS:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 1. Data ini akan digunakan untuk offline training/pre-training AI model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 2. Setiap baris merepresentasikan satu kondisi market dan keputusan trading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 3. Feature values harus dalam range 0.0 - 1.0 (normalized),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 4. Label: 1.0 untuk profitable trade, -1.0 untuk unprofitable trade, 0.0 untuk no trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 5. Weight: Importance factor (0.1 - 2.0) untuk training sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# FEATURE DIMENSIONS (34 total):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# [0-3] Price Returns (1,2,3,5 bars) - Normalized price changes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# [4-7] ATR Ratios (3,5,10,20 periods) - Volatility ratios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# [8-11] Technical Indicators (RSI, MACD, CCI, Stochastic) - Normalized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# [12-15] Volume Analysis (ratio, OBV, spike, MFI) - Volume patterns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# [16-18] Structure Features (SR distance, zone strength, pattern score) - S/R quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# [19-21] Market Regime (trend, range, volatile) - One-hot encoded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# [22-23] Time Features (hour, day_of_week) - Temporal patterns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# [24-25] Statistical Features (Z-score, skewness) - Price distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# [26-33] Advanced Pattern Features (8 dimensions) - Pattern recognition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# METADATA COLUMNS:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# [34] timestamp - Unix timestamp atau datetime string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# [35] symbol - Currency pair (e.g., EURUSD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# [36] timeframe - Timeframe (e.g., H1, H4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# [37] label - Training label (1.0=good, -1.0=bad, 0.0=no_trade),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# [38] weight - Sample importance (0.1-2.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# [39] regime - Market regime (TREND_UP, RANGE, VOLATILE, etc.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# [40] trade_type - Trade type (BUY, SELL, NO_TRADE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# [41] profit_pips - Actual profit/loss in pips (if available),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# [42] duration_bars - Trade duration in bars (if available),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# [43] notes - Additional notes or comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#HEADER_ROW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,timestamp,symbol,timeframe,label,weight,regime,trade_type,profit_pips,duration_bars,notes,
0.72,0.79,0.79,0.74,0.5,0.69,0.57,0.6,0.53,0.45,0.61,0.44,0.51,0.4,0.36,0.48,0.6,0.63,0.33,1.0,0.0,0.0,0.57,0.64,0.37,0.59,0.55,0.6,0.4,0.38,0.61,0.52,0.53,0.32,1714680400,AUDUSD,H1,-1.0,1.0,TREND_UP,BUY,-20.3,8,Trend exhaustion / Bull trap,
0.57,0.46,0.59,0.51,0.62,0.41,0.46,0.48,0.8,0.67,0.48,0.5,0.37,0.36,0.52,0.34,0.54,0.67,0.42,0.0,1.0,0.0,0.64,0.59,0.67,0.61,0.32,0.34,0.43,0.51,0.36,0.55,0.42,0.45,1714684000,USDCHF,H1,1.0,1.2,RANGE,SELL,22.6,6,Successful mean reversion in range,
0.72,0.77,0.75,0.72,0.41,0.3,0.61,0.61,0.46,0.47,0.53,0.35,0.32,0.39,0.33,0.32,0.56,0.62,0.32,1.0,0.0,0.0,0.31,0.4,0.49,0.44,0.56,0.33,0.68,0.34,0.42,0.61,0.67,0.48,1714687600,EURUSD,H4,-1.0,1.0,TREND_UP,BUY,-36.8,9,Trend exhaustion / Bull trap,
0.75,0.79,0.74,0.71,0.31,0.67,0.34,0.69,0.38,0.38,0.53,0.66,0.44,0.51,0.68,0.43,0.41,0.49,0.48,1.0,0.0,0.0,0.59,0.64,0.52,0.39,0.62,0.68,0.62,0.56,0.38,0.52,0.33,0.42,1714691200,USDCHF,M15,-1.0,1.0,TREND_UP,BUY,-20.3,12,Trend exhaustion / Bull trap,
0.23,0.18,0.27,0.11,0.47,0.33,0.31,0.37,0.24,0.36,0.24,0.21,0.35,0.39,0.34,0.4,0.52,0.51,0.4,1.0,0.0,0.0,0.58,0.49,0.67,0.67,0.48,0.51,0.68,0.6,0.36,0.35,0.35,0.55,1714694800,GBPUSD,H4,1.0,1.5,TREND_DOWN,SELL,47.2,30,Strong bearish trend capture,
0.27,0.16,0.14,0.27,0.4,0.44,0.56,0.32,0.33,0.21,0.28,0.33,0.44,0.62,0.5,0.63,0.45,0.36,0.47,1.0,0.0,0.0,0.62,0.4,0.62,0.61,0.58,0.39,0.43,0.57,0.41,0.5,0.4,0.7,1714698400,XAUUSD,H4,1.0,1.5,TREND_DOWN,SELL,54.4,15,Strong bearish trend capture,
0.48,0.44,0.55,0.59,0.96,0.84,0.9,0.88,0.31,0.4,0.48,0.63,0.54,0.47,0.43,0.48,0.44,0.63,0.46,0.63,0.56,1.0,0.43,0.48,0.43,0.7,0.59,0.37,0.47,0.38,0.37,0.39,0.44,0.56,1714702000,EURUSD,M15,-1.0,0.8,VOLATILE,SELL,-37.7,5,Whipsawed in high volatility,
0.49,0.51,0.6,0.52,0.81,0.87,0.81,0.91,0.45,0.66,0.65,0.43,0.45,0.39,0.33,0.38,0.66,0.55,0.41,0.53,0.67,1.0,0.5,0.41,0.63,0.33,0.45,0.42,0.66,0.33,0.36,0.33,0.4,0.34,1714705600,GBPUSD,H1,-1.0,0.8,VOLATILE,SELL,-31.0,6,Whipsawed in high volatility,
0.19,0.21,0.21,0.23,0.38,0.45,0.53,0.35,0.38,0.29,0.38,0.22,0.36,0.61,0.58,0.58,0.68,0.62,0.65,1.0,0.0,0.0,0.54,0.51,0.55,0.37,0.63,0.41,0.44,0.36,0.5,0.36,0.56,0.31,1714709200,AUDUSD,M15,1.0,1.5,TREND_DOWN,SELL,49.1,23,Strong bearish trend capture,
0.73,0.77,0.78,0.78,0.59,0.64,0.49,0.57,0.31,0.68,0.47,0.41,0.69,0.43,0.67,0.49,0.67,0.35,0.38,1.0,0.0,0.0,0.68,0.36,0.44,0.66,0.67,0.38,0.46,0.62,0.65,0.63,0.37,0.54,1714712800,XAUUSD,H1,-1.0,1.0,TREND_UP,BUY,-25.5,7,Trend exhaustion / Bull trap,
0.41,0.65,0.34,0.45,0.68,0.33,0.32,0.34,0.6,0.34,0.46,0.47,0.17,0.2,0.28,0.29,0.48,0.7,0.31,0.52,0.53,0.55,0.63,0.39,0.49,0.46,0.62,0.53,0.58,0.44,0.62,0.57,0.67,0.7,1714716400,AUDUSD,H4,0.0,0.5,RANGE,NO_TRADE,0.0,0,Low liquidity - criteria not met,
0.4,0.54,0.64,0.45,0.86,0.88,0.9,0.86,0.49,0.34,0.63,0.49,0.33,0.37,0.68,0.49,0.42,0.59,0.44,0.49,0.62,1.0,0.47,0.51,0.69,0.47,0.36,0.4,0.37,0.37,0.55,0.58,0.45,0.31,1714720000,EURUSD,M15,-1.0,0.8,VOLATILE,BUY,-45.5,5,Whipsawed in high volatility,
0.5,0.48,0.62,0.5,0.33,0.31,0.67,0.44,0.41,0.45,0.63,0.46,0.63,0.69,0.32,0.45,0.41,0.31,0.33,0.58,0.45,0.36,0.61,0.41,0.6,0.64,0.45,0.63,0.43,0.37,0.42,0.59,0.54,0.57,1714723600,USDCHF,M15,0.0,1.0,RANGE,NO_TRADE,0.0,0,,
0.63,0.54,0.42,0.53,0.64,0.4,0.5,0.34,0.38,0.34,0.46,0.63,0.53,0.45,0.4,0.67,0.4,0.5,0.47,0.42,0.47,0.47,0.5,0.6,0.59,0.65,0.63,0.59,0.51,0.41,0.67,0.5,0.58,0.58,1714727200,USDJPY,H1,0.0,1.0,RANGE,NO_TRADE,0.0,0,,
0.72,0.77,0.7,0.74,0.44,0.7,0.62,0.53,0.46,0.42,0.62,0.45,0.6,0.33,0.54,0.63,0.36,0.39,0.33,1.0,0.0,0.0,0.53,0.66,0.45,0.53,0.57,0.59,0.39,0.42,0.42,0.47,0.57,0.45,1714730800,XAUUSD,M15,-1.0,1.0,TREND_UP,BUY,-34.1,6,Trend exhaustion / Bull trap,
0.68,0.43,0.53,0.5,0.39,0.37,0.62,0.38,0.34,0.33,0.69,0.45,0.25,0.24,0.13,0.15,0.59,0.52,0.42,0.35,0.67,0.36,0.59,0.59,0.6,0.43,0.53,0.62,0.49,0.41,0.58,0.36,0.48,0.7,1714734400,XAUUSD,H1,0.0,0.5,RANGE,NO_TRADE,0.0,0,Low liquidity - criteria not met,
0.3,0.58,0.69,0.46,0.31,0.69,0.56,0.34,0.68,0.65,0.62,0.57,0.23,0.27,0.19,0.27,0.31,0.64,0.66,0.65,0.4,0.62,0.38,0.48,0.49,0.65,0.64,0.66,0.52,0.47,0.32,0.68,0.32,0.37,1714738000,EURUSD,M15,0.0,0.5,RANGE,NO_TRADE,0.0,0,Low liquidity - criteria not met,
0.49,0.57,0.48,0.44,0.42,0.63,0.43,0.38,0.2,0.62,0.55,0.54,0.45,0.47,0.44,0.35,0.54,0.51,0.35,0.0,1.0,0.0,0.6,0.66,0.31,0.43,0.51,0.43,0.47,0.54,0.66,0.4,0.51,0.52,1714741600,GBPUSD,H1,1.0,1.2,RANGE,BUY,26.9,9,Successful mean reversion in range,
0.38,0.67,0.39,0.38,0.51,0.42,0.39,0.36,0.66,0.34,0.55,0.5,0.19,0.12,0.19,0.19,0.55,0.32,0.49,0.37,0.52,0.42,0.36,0.35,0.32,0.31,0.45,0.58,0.52,0.56,0.52,0.32,0.66,0.51,1714745200,USDCHF,H1,0.0,0.5,RANGE,NO_TRADE,0.0,0,Low liquidity - criteria not met,
0.74,0.71,0.73,0.7,0.41,0.63,0.54,0.57,0.63,0.57,0.55,0.53,0.62,0.63,0.62,0.65,0.56,0.47,0.4,1.0,0.0,0.0,0.35,0.34,0.35,0.46,0.45,0.58,0.39,0.55,0.55,0.61,0.65,0.52,1714748800,GBPUSD,H4,-1.0,1.0,TREND_UP,BUY,-38.9,9,Trend exhaustion / Bull trap,
0.64,0.45,0.63,0.45,0.85,0.94,0.9,0.94,0.67,0.34,0.36,0.5,0.42,0.44,0.62,0.69,0.66,0.41,0.57,0.67,0.61,1.0,0.48,0.66,0.55,0.33,0.32,0.39,0.36,0.39,0.6,0.57,0.68,0.4,1714752400,USDCHF,H1,-1.0,0.8,VOLATILE,BUY,-36.2,7,Whipsawed in high volatility,
0.64,0.55,0.38,0.69,0.92,0.84,0.96,0.86,0.49,0.31,0.58,0.32,0.57,0.46,0.41,0.67,0.59,0.46,0.58,0.57,0.45,1.0,0.67,0.65,0.55,0.52,0.33,0.53,0.5,0.56,0.56,0.66,0.42,0.57,1714756000,EURUSD,H4,-1.0,0.8,VOLATILE,SELL,-48.0,8,Whipsawed in high volatility,
0.33,0.57,0.48,0.36,0.35,0.4,0.58,0.65,0.8,0.39,0.51,0.61,0.47,0.33,0.48,0.59,0.44,0.45,0.62,0.0,1.0,0.0,0.64,0.57,0.53,0.62,0.42,0.54,0.7,0.56,0.32,0.63,0.53,0.41,1714759600,USDJPY,M15,1.0,1.2,RANGE,SELL,20.3,12,Successful mean reversion in range,
0.65,0.64,0.41,0.52,0.36,0.47,0.39,0.42,0.34,0.55,0.56,0.6,0.49,0.54,0.51,0.4,0.63,0.7,0.46,0.55,0.43,0.47,0.59,0.55,0.62,0.48,0.65,0.35,0.68,0.66,0.42,0.46,0.59,0.63,1714763200,USDJPY,M15,0.0,1.0,RANGE,NO_TRADE,0.0,0,,
0.41,0.63,0.33,0.32,0.55,0.59,0.65,0.68,0.65,0.69,0.57,0.66,0.68,0.34,0.35,0.65,0.52,0.55,0.35,0.63,0.45,0.7,0.66,0.66,0.65,0.54,0.48,0.49,0.44,0.49,0.3,0.47,0.4,0.47,1714766800,AUDUSD,H1,0.0,1.0,RANGE,NO_TRADE,0.0,0,,
0.41,0.41,0.35,0.6,0.67,0.61,0.55,0.47,0.58,0.58,0.51,0.61,0.26,0.21,0.24,0.13,0.43,0.51,0.39,0.57,0.63,0.68,0.3,0.58,0.57,0.47,0.67,0.58,0.36,0.68,0.69,0.6,0.34,0.42,1714770400,USDJPY,H4,0.0,0.5,RANGE,NO_TRADE,0.0,0,Low liquidity - criteria not met,
0.68,0.31,0.46,0.61,0.59,0.34,0.31,0.35,0.8,0.42,0.6,0.65,0.63,0.58,0.44,0.39,0.47,0.45,0.61,0.0,1.0,0.0,0.39,0.4,0.44,0.49,0.39,0.7,0.35,0.34,0.37,0.34,0.66,0.56,1714774000,XAUUSD,M15,1.0,1.2,RANGE,SELL,32.4,7,Successful mean reversion in range,
0.38,0.61,0.45,0.63,0.41,0.34,0.55,0.35,0.54,0.58,0.32,0.41,0.23,0.17,0.25,0.2,0.5,0.45,0.42,0.43,0.56,0.6,0.51,0.66,0.61,0.3,0.65,0.51,0.3,0.66,0.5,0.58,0.59,0.37,1714777600,GBPUSD,H1,0.0,0.5,RANGE,NO_TRADE,0.0,0,Low liquidity - criteria not met,
0.82,0.89,0.83,0.74,0.67,0.65,0.64,0.48,0.67,0.78,0.78,0.76,0.4,0.49,0.45,0.31,0.55,0.32,0.35,1.0,0.0,0.0,0.66,0.59,0.55,0.64,0.33,0.34,0.64,0.69,0.4,0.69,0.63,0.65,1714781200,XAUUSD,H4,1.0,1.5,TREND_UP,BUY,74.9,28,Strong trend following success,
0.34,0.42,0.43,0.36,0.54,0.36,0.35,0.46,0.2,0.61,0.32,0.4,0.31,0.41,0.39,0.41,0.64,0.39,0.31,0.0,1.0,0.0,0.5,0.63,0.5,0.69,0.47,0.67,0.47,0.64,0.43,0.68,0.37,0.57,1714784800,USDJPY,H1,1.0,1.2,RANGE,BUY,27.6,13,Successful mean reversion in range,
0.77,0.8,0.71,0.71,0.6,0.51,0.52,0.5,0.42,0.55,0.68,0.39,0.44,0.62,0.44,0.52,0.54,0.62,0.66,1.0,0.0,0.0,0.32,0.35,0.68,0.42,0.64,0.51,0.56,0.37,0.58,0.6,0.41,0.61,1714788400,AUDUSD,M15,-1.0,1.0,TREND_UP,BUY,-20.5,12,Trend exhaustion / Bull trap,
0.25,0.26,0.23,0.18,0.62,0.4,0.66,0.54,0.21,0.33,0.35,0.21,0.63,0.59,0.67,0.44,0.57,0.57,0.43,1.0,0.0,0.0,0.51,0.41,0.39,0.55,0.5,0.46,0.39,0.61,0.38,0.63,0.57,0.33,1714792000,AUDUSD,H4,1.0,1.5,TREND_DOWN,SELL,64.1,14,Strong bearish trend capture,
0.68,0.63,0.56,0.49,0.35,0.37,0.52,0.54,0.43,0.42,0.37,0.67,0.43,0.39,0.61,0.38,0.49,0.56,0.33,0.37,0.47,0.65,0.42,0.57,0.62,0.39,0.6,0.7,0.47,0.62,0.61,0.69,0.4,0.69,1714795600,EURUSD,H4,0.0,1.0,RANGE,NO_TRADE,0.0,0,,
0.64,0.63,0.52,0.32,0.48,0.32,0.33,0.5,0.35,0.53,0.54,0.37,0.44,0.58,0.54,0.37,0.66,0.66,0.44,0.47,0.62,0.7,0.63,0.32,0.31,0.37,0.38,0.46,0.55,0.61,0.63,0.52,0.48,0.39,1714799200,XAUUSD,H4,0.0,1.0,RANGE,NO_TRADE,0.0,0,,
0.51,0.64,0.67,0.32,0.8,0.9,0.93,0.87,0.66,0.56,0.41,0.37,0.69,0.64,0.67,0.36,0.36,0.62,0.48,0.35,0.34,1.0,0.36,0.4,0.34,0.46,0.63,0.51,0.67,0.67,0.63,0.3,0.5,0.56,1714802800,USDCHF,H4,-1.0,0.8,VOLATILE,BUY,-41.7,6,Whipsawed in high volatility,
0.71,0.71,0.73,0.7,0.48,0.58,0.48,0.56,0.58,0.44,0.45,0.51,0.51,0.42,0.38,0.6,0.37,0.54,0.33,1.0,0.0,0.0,0.33,0.66,0.63,0.69,0.63,0.51,0.48,0.44,0.45,0.6,0.45,0.69,1714806400,XAUUSD,M15,-1.0,1.0,TREND_UP,BUY,-25.1,8,Trend exhaustion / Bull trap,
0.7,0.71,0.83,0.82,0.59,0.59,0.53,0.48,0.66,0.67,0.78,0.66,0.3,0.43,0.57,0.37,0.36,0.53,0.43,1.0,0.0,0.0,0.46,0.55,0.31,0.63,0.35,0.65,0.35,0.31,0.43,0.31,0.42,0.41,1714810000,GBPUSD,M15,1.0,1.5,TREND_UP,BUY,71.1,23,Strong trend following success,
0.22,0.25,0.19,0.3,0.41,0.33,0.41,0.54,0.3,0.23,0.3,0.33,0.34,0.41,0.61,0.58,0.51,0.4,0.55,1.0,0.0,0.0,0.62,0.65,0.41,0.31,0.34,0.65,0.65,0.32,0.32,0.4,0.57,0.4,1714813600,XAUUSD,M15,1.0,1.5,TREND_DOWN,SELL,72.0,23,Strong bearish trend capture,
0.51,0.42,0.34,0.3,0.92,0.99,0.94,0.95,0.4,0.65,0.6,0.49,0.53,0.36,0.42,0.33,0.7,0.67,0.58,0.48,0.41,1.0,0.49,0.52,0.57,0.32,0.59,0.38,0.51,0.46,0.41,0.49,0.46,0.43,1714817200,XAUUSD,M15,-1.0,0.8,VOLATILE,SELL,-31.1,8,Whipsawed in high volatility,
0.43,0.37,0.57,0.33,0.87,0.94,0.83,0.95,0.69,0.31,0.6,0.45,0.43,0.49,0.49,0.42,0.63,0.32,0.61,0.58,0.66,1.0,0.52,0.59,0.57,0.49,0.48,0.53,0.35,0.59,0.4,0.58,0.46,0.37,1714820800,EURUSD,M15,-1.0,0.8,VOLATILE,SELL,-43.6,4,Whipsawed in high volatility,
0.58,0.66,0.59,0.69,0.51,0.53,0.47,0.35,0.36,0.68,0.47,0.47,0.24,0.16,0.3,0.26,0.62,0.36,0.62,0.57,0.4,0.61,0.58,0.38,0.46,0.42,0.3,0.33,0.56,0.42,0.43,0.42,0.61,0.33,1714824400,AUDUSD,M15,0.0,0.5,RANGE,NO_TRADE,0.0,0,Low liquidity - criteria not met,
0.58,0.41,0.56,0.59,0.86,0.9,0.92,0.8,0.7,0.42,0.69,0.57,0.66,0.56,0.43,0.65,0.69,0.33,0.51,0.66,0.62,1.0,0.66,0.56,0.38,0.44,0.67,0.4,0.47,0.49,0.35,0.6,0.66,0.47,1714828000,AUDUSD,H1,-1.0,0.8,VOLATILE,BUY,-33.3,6,Whipsawed in high volatility,
0.57,0.61,0.33,0.5,0.8,0.85,0.86,0.93,0.51,0.51,0.7,0.33,0.55,0.38,0.34,0.56,0.4,0.37,0.46,0.57,0.33,1.0,0.34,0.67,0.41,0.66,0.61,0.59,0.45,0.33,0.67,0.53,0.46,0.63,1714831600,USDJPY,H4,-1.0,0.8,VOLATILE,BUY,-37.0,8,Whipsawed in high volatility,
0.76,0.73,0.76,0.7,0.47,0.5,0.47,0.38,0.57,0.65,0.65,0.68,0.49,0.61,0.56,0.48,0.33,0.68,0.41,1.0,0.0,0.0,0.59,0.66,0.67,0.6,0.59,0.58,0.45,0.47,0.51,0.61,0.4,0.34,1714835200,XAUUSD,H4,-1.0,1.0,TREND_UP,BUY,-27.8,12,Trend exhaustion / Bull trap,
0.31,0.57,0.39,0.32,0.61,0.42,0.34,0.63,0.8,0.66,0.59,0.35,0.32,0.5,0.48,0.61,0.69,0.32,0.3,0.0,1.0,0.0,0.43,0.3,0.53,0.55,0.63,0.53,0.49,0.35,0.44,0.61,0.36,0.64,1714838800,AUDUSD,H4,1.0,1.2,RANGE,SELL,17.1,9,Successful mean reversion in range,
0.6,0.69,0.65,0.41,0.92,0.91,0.93,0.82,0.7,0.64,0.45,0.51,0.44,0.66,0.69,0.34,0.31,0.55,0.59,0.48,0.47,1.0,0.62,0.54,0.41,0.63,0.5,0.7,0.36,0.34,0.46,0.64,0.37,0.37,1714842400,XAUUSD,H1,-1.0,0.8,VOLATILE,BUY,-36.1,7,Whipsawed in high volatility,
0.75,0.74,0.84,0.81,0.34,0.53,0.39,0.32,0.63,0.75,0.69,0.75,0.39,0.54,0.65,0.51,0.55,0.57,0.7,1.0,0.0,0.0,0.32,0.35,0.44,0.69,0.66,0.47,0.63,0.64,0.56,0.53,0.54,0.44,1714846000,EURUSD,M15,1.0,1.5,TREND_UP,BUY,70.1,14,Strong trend following success,
0.49,0.59,0.31,0.65,0.56,0.39,0.56,0.31,0.6,0.6,0.55,0.62,0.14,0.11,0.27,0.22,0.46,0.3,0.64,0.41,0.48,0.58,0.67,0.48,0.38,0.41,0.34,0.4,0.64,0.3,0.43,0.4,0.36,0.61,1714849600,AUDUSD,H1,0.0,0.5,RANGE,NO_TRADE,0.0,0,Low liquidity - criteria not met,
0.72,0.73,0.76,0.75,0.4,0.59,0.35,0.38,0.47,0.49,0.52,0.41,0.55,0.56,0.69,0.5,0.61,0.57,0.56,1.0,0.0,0.0,0.3,0.48,0.57,0.32,0.33,0.53,0.65,0.33,0.51,0.67,0.6,0.48,1714853200,USDCHF,H1,-1.0,1.0,TREND_UP,BUY,-38.5,11,Trend exhaustion / Bull trap,
0.67,0.4,0.31,0.61,0.55,0.5,0.7,0.64,0.69,0.43,0.65,0.45,0.23,0.2,0.24,0.3,0.54,0.51,0.66,0.44,0.47,0.62,0.39,0.31,0.41,0.33,0.5,0.58,0.65,0.5,0.38,0.44,0.5,0.57,1714856800,USDJPY,H4,0.0,0.5,RANGE,NO_TRADE,0.0,0,Low liquidity - criteria not met,
0.64,0.69,0.31,0.43,0.66,0.65,0.67,0.61,0.37,0.54,0.39,0.45,0.55,0.45,0.52,0.31,0.45,0.56,0.35,0.44,0.48,0.59,0.67,0.4,0.68,0.58,0.68,0.55,0.31,0.54,0.69,0.34,0.31,0.7,1714860400,AUDUSD,H1,0.0,1.0,RANGE,NO_TRADE,0.0,0,,
0.46,0.31,0.64,0.49,0.64,0.5,0.68,0.32,0.41,0.66,0.67,0.47,0.27,0.19,0.25,0.17,0.36,0.46,0.47,0.58,0.57,0.58,0.48,0.54,0.42,0.33,0.39,0.59,0.6,0.67,0.58,0.47,0.42,0.67,1714864000,AUDUSD,H4,0.0,0.5,RANGE,NO_TRADE,0.0,0,Low liquidity - criteria not met,
0.71,0.79,0.75,0.79,0.55,0.43,0.44,0.41,0.69,0.62,0.61,0.55,0.4,0.47,0.3,0.33,0.54,0.55,0.44,1.0,0.0,0.0,0.65,0.38,0.57,0.5,0.43,0.42,0.68,0.63,0.61,0.44,0.57,0.4,1714867600,EURUSD,M15,-1.0,1.0,TREND_UP,BUY,-33.7,6,Trend exhaustion / Bull trap,
0.32,0.51,0.42,0.56,0.66,0.51,0.35,0.66,0.48,0.48,0.43,0.62,0.29,0.28,0.22,0.17,0.5,0.43,0.59,0.36,0.38,0.63,0.36,0.63,0.48,0.42,0.43,0.4,0.33,0.3,0.56,0.33,0.51,0.53,1714871200,XAUUSD,M15,0.0,0.5,RANGE,NO_TRADE,0.0,0,Low liquidity - criteria not met,
0.37,0.49,0.46,0.52,0.39,0.37,0.6,0.55,0.68,0.4,0.58,0.32,0.43,0.31,0.7,0.32,0.59,0.32,0.6,0.33,0.51,0.69,0.56,0.55,0.53,0.57,0.35,0.5,0.45,0.46,0.32,0.42,0.41,0.44,1714874800,USDCHF,M15,0.0,1.0,RANGE,NO_TRADE,0.0,0,,
0.58,0.67,0.42,0.43,0.31,0.34,0.38,0.37,0.58,0.32,0.62,0.45,0.26,0.19,0.19,0.11,0.55,0.48,0.35,0.69,0.43,0.49,0.34,0.5,0.52,0.37,0.47,0.46,0.38,0.62,0.39,0.67,0.33,0.51,1714878400,USDJPY,H1,0.0,0.5,RANGE,NO_TRADE,0.0,0,Low liquidity - criteria not met,
0.75,0.79,0.79,0.8,0.56,0.68,0.52,0.65,0.66,0.61,0.3,0.42,0.55,0.64,0.3,0.58,0.4,0.66,0.66,1.0,0.0,0.0,0.64,0.7,0.46,0.55,0.45,0.7,0.45,0.64,0.63,0.7,0.31,0.53,1714882000,USDCHF,H1,-1.0,1.0,TREND_UP,BUY,-26.1,11,Trend exhaustion / Bull trap,
0.47,0.53,0.56,0.44,0.37,0.66,0.66,0.5,0.42,0.39,0.57,0.58,0.1,0.26,0.24,0.17,0.65,0.36,0.48,0.67,0.36,0.62,0.57,0.31,0.41,0.46,0.37,0.65,0.67,0.41,0.67,0.32,0.39,0.35,1714885600,XAUUSD,H1,0.0,0.5,RANGE,NO_TRADE,0.0,0,Low liquidity - criteria not met,
0.58,0.34,0.49,0.41,0.39,0.43,0.5,0.31,0.47,0.46,0.52,0.34,0.23,0.13,0.19,0.28,0.66,0.4,0.31,0.64,0.64,0.63,0.66,0.65,0.58,0.33,0.58,0.31,0.37,0.63,0.33,0.43,0.58,0.68,1714889200,USDJPY,H4,0.0,0.5,RANGE,NO_TRADE,0.0,0,Low liquidity - criteria not met,
0.56,0.54,0.66,0.32,0.62,0.59,0.59,0.67,0.2,0.42,0.46,0.31,0.49,0.34,0.65,0.7,0.49,0.4,0.42,0.0,1.0,0.0,0.32,0.38,0.46,0.53,0.55,0.47,0.54,0.57,0.41,0.6,0.61,0.36,1714892800,XAUUSD,M15,1.0,1.2,RANGE,BUY,30.8,12,Successful mean reversion in range,
